Title,RequiredSkills,Sector,Location,Mode
Data Analyst Internship,"Python, SQL, Data Analysis",Data Science,Delhi,Online
Frontend Developer Internship,"HTML, CSS, JavaScript",Web Development,Mumbai,Offline
Content Writer Internship,"Writing, SEO, Social Media",Media,Remote,Online
Digital Marketing Internship,"SEO, Google Ads, Content",Marketing,Pune,Offline
AI Research Internship,"Python, Machine Learning, NLP",Artificial Intelligence,Bangalore,Offline
Java Developer Internship,"Java, Spring, Hibernate",Software Development,Hyderabad,Hybrid
Business Analyst Internship,"Excel, Power BI, Analytics",Consulting,Noida,Offline
Graphic Design Internship,"Adobe Photoshop, Illustrator, Creativity",Design,Chennai,Hybrid
HR Intern,"Recruitment, Payroll, Communication",Human Resources,Gurgaon,Hybrid
Marketing Analyst Internship,"Market Research, Strategy, Analytics",Marketing,Delhi,Offline
Mechanical Engineering Internship,"AutoCAD, SolidWorks, Design",Engineering,Pune,Hybrid
Civil Engineering Internship,"AutoCAD, Site Supervision, Estimation",Construction,Ahmedabad,Offline
App Developer Internship,"Swift, Kotlin, Mobile Apps",App Development,Bangalore,Offline
Pharmacy Internship,"Pharma, Research, Formulation",Healthcare,Mumbai,Hybrid
Finance Intern,"Accounting, Excel, Financial Analysis",Finance,Kolkata,Hybrid
Event Management Internship,"Planning, Coordination, Communication",Event Planning,Goa,Online
Social Media Intern,"Instagram, Facebook, Content Creation",Social Media,Remote,Hybrid
Machine Learning Internship,"Python, Deep Learning, Research",Artificial Intelligence,Hyderabad,Hybrid
Business Development Intern,"Sales, Networking, CRM",Business,Delhi,Offline
Operations Intern,"Logistics, Coordination, MS Office",Operations,Chennai,Offline
Cloud Engineering Intern,"AWS, Azure, Networking",Cloud Computing,Mumbai,Online
Cybersecurity Analyst Intern,"Network Security, SIEM, Python",Cybersecurity,Bangalore,Online
UI/UX Design Intern,"Figma, Sketch, Prototyping",Design,Hyderabad,Offline
Technical Support Intern,"Troubleshooting, Customer Service, Windows",IT Support,Noida,Offline
Research Analyst Intern,"Data Collection, Statistics, R",Research,Delhi,Online
Supply Chain Intern,"Logistics, Inventory Management, SAP",Logistics,Pune,Online
Architectural Intern,"Revit, SketchUp, Building Codes",Architecture,Chennai,Online
Environmental Intern,"GIS, Data Analysis, Sustainability",Environmental,Mumbai,Offline
Network Administrator Intern,"Cisco, Juniper, Routing",IT Infrastructure,Bangalore,Hybrid
Chemical Engineering Intern,"Process Design, AutoCAD, Lab Skills",Engineering,Ahmedabad,Online
Biotechnology Intern,"Molecular Biology, Lab Techniques, Research",Biotechnology,Pune,Hybrid
Fashion Design Intern,"Sketching, Adobe Illustrator, Textiles",Fashion,Delhi,Hybrid
Journalism Intern,"Reporting, Editing, Research",Media,Remote,Offline
Public Relations Intern,"Media Relations, Press Releases, Communication",PR,Mumbai,Online
Clinical Research Intern,"Clinical Trials, Data Analysis, Regulations",Healthcare,Hyderabad,Offline
Game Development Intern,"Unity, C++, 3D Modeling",Gaming,Bangalore,Online
Legal Intern,"Legal Research, Drafting, Documentation",Legal,Delhi,Online
Aerospace Engineering Intern,"CAD, MATLAB, Thermodynamics",Aerospace,Pune,Offline
Electrical Engineering Intern,"Circuit Design, PCB, MATLAB",Engineering,Hyderabad,Online
Telecommunications Intern,"Network Protocols, VoIP, Wireless Technology",Telecommunications,Noida,Hybrid
Product Management Intern,"Market Research, Agile, Strategy",Product Management,Bangalore,Hybrid
Robotics Intern,"ROS, C++, Automation",Robotics,Chennai,Hybrid
Quality Assurance Intern,"Testing, Bug Reporting, Automation",Software Development,Pune,Offline
Data Science Intern,"R, Statistics, Machine Learning",Data Science,Mumbai,Offline
Financial Analyst Intern,"Valuation, Financial Modeling, Excel",Finance,Delhi,Online
Urban Planning Intern,"GIS, AutoCAD, Policy Analysis",Urban Planning,Ahmedabad,Offline
Pharmaceutical Sales Intern,"Sales, Communication, Product Knowledge",Pharma,Mumbai,Offline
Education Intern,"Curriculum Development, Tutoring, Classroom Management",Education,Remote,Hybrid
Hospitality Intern,"Front Desk Operations, Guest Services, Coordination",Hospitality,Goa,Offline
Interior Design Intern,"AutoCAD, SketchUp, Material Selection",Design,Chennai,Hybrid
E-commerce Intern,"Digital Marketing, E-commerce Platforms, Analytics",E-commerce,Bangalore,Hybrid
Construction Management Intern,"Project Scheduling, Cost Estimation, Site Management",Construction,Hyderabad,Offline
Biomedical Engineering Intern,"Medical Devices, CAD, MATLAB",Biomedical,Delhi,Online
Genetics Research Intern,"Genomics, Bioinformatics, Lab Techniques",Biotechnology,Pune,Hybrid
UX Researcher Intern,"User Interviews, Usability Testing, Surveys",UI/UX,Mumbai,Offline
Content Marketing Intern,"Content Creation, SEO, Email Marketing",Marketing,Bangalore,Hybrid
DevOps Intern,"CI/CD, Docker, Kubernetes",DevOps,Hyderabad,Online
Sports Management Intern,"Event Planning, Marketing, Athlete Relations",Sports,Delhi,Online
Forensic Science Intern,"Lab Analysis, Data Interpretation, Evidence Collection",Forensic Science,Noida,Offline
